interval,AFRICA,Uganda,Ethiopia,Kenya,South Africa,Nigeria,Burundi,Rwanda,Tanzania
1950-1955,6.599478645,6.9,7.1696,7.481,6.3,6.3544,6.801,8,6.74
1955-1960,6.640245162,6.95,6.9023,7.785,6.2,6.3544,6.857,8.15,6.801
1960-1965,6.702031654,7.05,6.8972,8.065,6.1,6.3544,7.071,8.2,6.8
1965-1970,6.67112278,7.12,6.8691,8.11,5.7,6.3544,7.268,8.2,6.79
1970-1975,6.667982293,7.1,7.1038,7.99,5.47,6.6094,7.343,8.284,6.75
1975-1980,6.623256138,7.1,7.1838,7.64,5,6.7629,7.476,8.432,6.73
1980-1985,6.476661839,7.1,7.4247,7.216,4.556,6.7559,7.428,8.375,6.55
1985-1990,6.197498556,7.1,7.3673,6.538,4,6.6035,7.592,7.987,6.36
1990-1995,5.734299566,7.063,7.0888,5.566,3.343,6.3697,7.431,6.554,6.05
1995-2000,5.35145891,6.946,6.8335,5.072,2.954,6.1703,7.184,5.9,5.75
2000-2005,5.100902873,6.745,6.131,5,2.802,6.0512,6.908,5.4,5.66
2005-2010,4.889899708,6.38,5.258,4.8,2.55,5.91,6.523,4.85,5.579
2010-2015,4.712369462,5.9126,4.5889,4.4371,2.4037,5.74,6.0756,4.05,5.2395
